Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
6.944633560636072289e+00,1.586978525532582562e+00,9.124249653470126020e+01,1.447998826165519688e+02,2.100000000000000000e+01
6.944633560636072289e+00,1.586978525532583451e+00,1.447998826165519972e+02,9.124249653470121757e+01,2.100000000000000000e+01
6.944633560636072289e+00,1.586978525532584783e+00,9.124249653470113230e+01,1.447998826165519688e+02,2.100000000000000000e+01
7.021485498786194768e+00,1.304619108809924599e+00,1.250039894413266097e+02,1.630825933026287373e+02,3.000000000000000000e+01
7.021485498786194768e+00,1.304619108809926153e+00,1.630825933026289078e+02,1.250039894413265955e+02,3.000000000000000000e+01
7.021485498786194768e+00,1.304619108809925043e+00,1.250039894413266097e+02,1.630825933026287942e+02,3.000000000000000000e+01
7.021485498786194768e+00,1.304619108809923933e+00,1.630825933026287089e+02,1.250039894413266381e+02,3.000000000000000000e+01
5.904760207170505204e+00,1.315825628631212885e+00,1.248523751201844760e+02,9.488519785867228507e+01,1.700000000000000000e+01
5.904760207170505204e+00,1.315825628631212885e+00,9.488519785867225664e+01,1.248523751201844334e+02,1.700000000000000000e+01
5.904760207170505204e+00,1.315825628631213551e+00,1.248523751201844618e+02,9.488519785867222822e+01,1.700000000000000000e+01
5.904760207170505204e+00,1.315825628631212885e+00,9.488519785867228507e+01,1.248523751201844618e+02,1.700000000000000000e+01
6.617849774870528279e+00,1.899881133242704578e+00,8.364656070216310013e+01,1.589185225386803211e+02,3.100000000000000000e+01
6.617849774870528279e+00,1.899881133242703024e+00,1.589185225386802927e+02,8.364656070216315698e+01,3.100000000000000000e+01
6.617849774870528279e+00,1.899881133242704578e+00,8.364656070216311434e+01,1.589185225386803495e+02,3.100000000000000000e+01
6.617849774870528279e+00,1.899881133242706577e+00,1.589185225386806053e+02,8.364656070216317119e+01,3.100000000000000000e+01
5.910611336711951047e+00,1.656115386521882948e+00,5.961478432214632761e+01,9.872896158009005774e+01,1.800000000000000000e+01
5.910611336711951047e+00,1.656115386521882504e+00,9.872896158009008616e+01,5.961478432214636314e+01,1.800000000000000000e+01
5.910611336711951047e+00,1.656115386521883392e+00,5.961478432214632051e+01,9.872896158009007195e+01,1.800000000000000000e+01
5.910611336711951047e+00,1.656115386521882282e+00,9.872896158009004353e+01,5.961478432214634182e+01,1.800000000000000000e+01
5.898274989404505675e+00,1.534038078240240299e+00,1.096703388928423948e+02,1.682384759151318292e+02,2.200000000000000000e+01
5.898274989404505675e+00,1.534038078240242298e+00,1.682384759151320850e+02,1.096703388928424232e+02,2.200000000000000000e+01
5.898274989404505675e+00,1.534038078240241187e+00,1.096703388928423806e+02,1.682384759151319145e+02,2.200000000000000000e+01
5.898274989404505675e+00,1.534038078240241409e+00,1.682384759151319713e+02,1.096703388928424090e+02,2.200000000000000000e+01
6.667513652897020471e+00,1.557480448987473620e+00,9.502606463821732063e+01,1.480012378182433963e+02,2.600000000000000000e+01
6.667513652897020471e+00,1.557480448987470956e+00,1.480012378182432258e+02,9.502606463821736327e+01,2.600000000000000000e+01
6.667513652897020471e+00,1.557480448987469623e+00,9.502606463821742011e+01,1.480012378182431689e+02,2.600000000000000000e+01
6.667513652897020471e+00,1.557480448987470290e+00,1.480012378182431405e+02,9.502606463821734906e+01,2.600000000000000000e+01
5.859795632019782374e+00,1.035294105925936625e+00,1.173364576487174702e+02,1.214777430139454850e+02,1.700000000000000000e+01
5.859795632019782374e+00,1.035294105925936403e+00,1.214777430139455419e+02,1.173364576487175555e+02,1.700000000000000000e+01
5.859795632019782374e+00,1.035294105925936625e+00,1.173364576487174986e+02,1.214777430139454992e+02,1.700000000000000000e+01
5.859795632019782374e+00,1.035294105925937291e+00,1.214777430139455134e+02,1.173364576487174133e+02,1.700000000000000000e+01
7.252630318111686236e+00,1.223671363683363600e+00,1.645599079901767254e+02,2.013672470179483867e+02,2.700000000000000000e+01
7.252630318111686236e+00,1.223671363683367375e+00,2.013672470179487561e+02,1.645599079901765265e+02,2.700000000000000000e+01
7.252630318111686236e+00,1.223671363683363156e+00,1.645599079901765549e+02,2.013672470179481024e+02,2.700000000000000000e+01
7.252630318111686236e+00,1.223671363683365154e+00,2.013672470179483867e+02,1.645599079901764981e+02,2.700000000000000000e+01
7.193803427753669766e+00,1.318970440839188019e+00,1.896967383793118529e+02,1.438218268626386305e+02,2.500000000000000000e+01
7.193803427753669766e+00,1.318970440839187797e+00,1.438218268626387726e+02,1.896967383793119950e+02,2.500000000000000000e+01
7.193803427753669766e+00,1.318970440839190017e+00,1.896967383793121087e+02,1.438218268626386021e+02,2.500000000000000000e+01
7.193803427753669766e+00,1.318970440839189573e+00,1.438218268626385452e+02,1.896967383793119666e+02,2.500000000000000000e+01
5.543569705060914288e+00,1.444341472841642382e+00,7.677125090864180379e+01,1.108839016092829866e+02,2.900000000000000000e+01
5.543569705060914288e+00,1.444341472841645047e+00,1.108839016092830008e+02,7.677125090864167589e+01,2.900000000000000000e+01
5.543569705060914288e+00,1.444341472841645491e+00,7.677125090864161905e+01,1.108839016092829439e+02,2.900000000000000000e+01
5.543569705060914288e+00,1.444341472841645047e+00,1.108839016092829013e+02,7.677125090864160484e+01,2.900000000000000000e+01
5.820427495990709410e+00,1.478976281807491189e+00,1.121265520715401180e+02,7.581362422831261938e+01,2.800000000000000000e+01
5.820427495990709410e+00,1.478976281807494297e+00,7.581362422831259096e+01,1.121265520715403170e+02,2.800000000000000000e+01
5.820427495990709410e+00,1.478976281807492743e+00,1.121265520715404591e+02,7.581362422831276149e+01,2.800000000000000000e+01
