Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.086172950981996621e+00,5.266985024531872561e+00,7.740914550975560360e+01,4.077128101616914364e+02,2.400000000000000000e+01
8.344643732721877427e+00,3.263113415165179720e+00,3.993899337363551467e+02,1.223953577219251798e+02,2.900000000000000000e+01
8.344643732721877427e+00,3.263113415165176168e+00,1.223953577219253361e+02,3.993899337363552036e+02,2.900000000000000000e+01
8.344643732721877427e+00,3.263113415165178832e+00,3.993899337363550330e+02,1.223953577219251798e+02,2.900000000000000000e+01
8.344643732721877427e+00,3.263113415165174835e+00,1.223953577219254214e+02,3.993899337363553173e+02,2.900000000000000000e+01
1.000446066228431441e+01,3.929720584462241373e+00,5.802107527873929484e+02,1.476468212731189169e+02,3.600000000000000000e+01
1.000446066228431441e+01,3.929720584462236488e+00,1.476468212731190874e+02,5.802107527873929484e+02,3.600000000000000000e+01
1.000446066228431441e+01,3.929720584462240485e+00,5.802107527873930621e+02,1.476468212731189737e+02,3.600000000000000000e+01
1.000446066228431441e+01,3.929720584462253807e+00,1.476468212731183485e+02,5.802107527873926074e+02,3.600000000000000000e+01
9.008060142989961605e+00,3.037015318183228896e+00,4.934253892498408050e+02,1.624704973648313739e+02,3.600000000000000000e+01
9.008060142989961605e+00,3.037015318183230672e+00,1.624704973648312034e+02,4.934253892498405207e+02,3.600000000000000000e+01
9.008060142989961605e+00,3.037015318183228452e+00,4.934253892498405776e+02,1.624704973648313171e+02,3.600000000000000000e+01
9.008060142989961605e+00,3.037015318183229784e+00,1.624704973648312318e+02,4.934253892498405207e+02,3.600000000000000000e+01
9.125769708312137851e+00,4.782877670669803294e+00,6.935941972664120385e+02,1.450160855084716900e+02,4.300000000000000000e+01
9.125769708312137851e+00,4.782877670669812176e+00,1.450160855084713489e+02,6.935941972664118111e+02,4.300000000000000000e+01
9.125769708312137851e+00,4.782877670669800629e+00,6.935941972664122659e+02,1.450160855084718037e+02,4.300000000000000000e+01
9.125769708312137851e+00,4.782877670669797965e+00,1.450160855084718037e+02,6.935941972664119248e+02,4.300000000000000000e+01
8.725508940044587547e+00,2.941082465504873067e+00,4.426870436563153817e+02,1.505184056715399379e+02,3.500000000000000000e+01
8.725508940044587547e+00,2.941082465504876176e+00,1.505184056715396537e+02,4.426870436563150406e+02,3.500000000000000000e+01
8.725508940044587547e+00,2.941082465504874843e+00,4.426870436563152680e+02,1.505184056715398242e+02,3.500000000000000000e+01
8.725508940044587547e+00,2.941082465504872179e+00,1.505184056715399379e+02,4.426870436563152111e+02,3.500000000000000000e+01
8.737072298754812394e+00,5.894722565863713015e+00,6.242620517794782700e+02,1.059018545494531622e+02,2.600000000000000000e+01
8.737072298754812394e+00,5.894722565863700581e+00,1.059018545494533896e+02,6.242620517794782700e+02,2.600000000000000000e+01
8.737072298754812394e+00,5.894722565863717456e+00,6.242620517794780426e+02,1.059018545494530485e+02,2.600000000000000000e+01
8.737072298754812394e+00,5.894722565863740549e+00,1.059018545494525938e+02,6.242620517794778152e+02,2.600000000000000000e+01
1.096408684790368682e+01,2.410319768048273747e+00,5.176417809515620547e+02,2.147606254628679494e+02,4.500000000000000000e+01
1.096408684790368682e+01,2.410319768048274192e+00,2.147606254628680631e+02,5.176417809515623958e+02,4.500000000000000000e+01
1.096408684790368682e+01,2.410319768048274192e+00,5.176417809515623958e+02,2.147606254628680631e+02,4.500000000000000000e+01
1.096408684790368682e+01,2.410319768048274192e+00,2.147606254628681199e+02,5.176417809515625095e+02,4.500000000000000000e+01
6.572610277856429484e+00,2.556875813173105083e+00,3.031916342888503095e+02,1.185789441656874459e+02,3.000000000000000000e+01
6.572610277856429484e+00,2.556875813173103751e+00,1.185789441656874033e+02,3.031916342888500822e+02,3.000000000000000000e+01
6.572610277856429484e+00,2.556875813173105527e+00,3.031916342888504801e+02,1.185789441656874885e+02,3.000000000000000000e+01
6.572610277856429484e+00,2.556875813173103751e+00,1.185789441656875169e+02,3.031916342888503095e+02,3.000000000000000000e+01
9.597023223685292592e+00,4.444311470766235672e+00,5.192376449902088780e+02,1.168319656274424148e+02,3.200000000000000000e+01
9.597023223685292592e+00,4.444311470766235672e+00,1.168319656274423437e+02,5.192376449902085369e+02,3.200000000000000000e+01
9.597023223685292592e+00,4.444311470766238337e+00,5.192376449902085369e+02,1.168319656274422584e+02,3.200000000000000000e+01
9.597023223685292592e+00,4.444311470766228567e+00,1.168319656274425142e+02,5.192376449902084232e+02,3.200000000000000000e+01
8.303234857710162231e+00,2.384112660738033629e+00,3.463944451874496622e+02,1.452928172782819161e+02,3.700000000000000000e+01
8.303234857710162231e+00,2.384112660738034517e+00,1.452928172782818024e+02,3.463944451874495485e+02,3.700000000000000000e+01
8.303234857710162231e+00,2.384112660738034517e+00,3.463944451874494916e+02,1.452928172782818024e+02,3.700000000000000000e+01
8.303234857710162231e+00,2.384112660738032297e+00,1.452928172782820866e+02,3.463944451874498327e+02,3.700000000000000000e+01
7.191936795705061058e+00,4.100515785563985105e+00,3.676381097253470216e+02,8.965655272432564971e+01,2.300000000000000000e+01
7.191936795705061058e+00,4.100515785563990434e+00,8.965655272432550760e+01,3.676381097253469079e+02,2.300000000000000000e+01
7.191936795705061058e+00,4.100515785563985105e+00,3.676381097253471353e+02,8.965655272432566392e+01,2.300000000000000000e+01
7.191936795705061058e+00,4.100515785563985105e+00,8.965655272432564971e+01,3.676381097253470784e+02,2.300000000000000000e+01
8.087284522184130964e+00,3.324053098908410941e+00,4.478199100729227666e+02,1.347210458882208570e+02,4.000000000000000000e+01
8.087284522184130964e+00,3.324053098908412274e+00,1.347210458882206581e+02,4.478199100729223119e+02,4.000000000000000000e+01
8.087284522184130964e+00,3.324053098908410053e+00,4.478199100729226529e+02,1.347210458882208570e+02,4.000000000000000000e+01
8.087284522184130964e+00,3.324053098908402060e+00,1.347210458882211128e+02,4.478199100729224256e+02,4.000000000000000000e+01
1.060459422619511649e+01,2.513238025324564973e+00,5.883009156188027191e+02,2.340808589122108003e+02,2.600000000000000000e+01
1.060459422619511649e+01,2.513238025324563640e+00,2.340808589122108856e+02,5.883009156188027191e+02,2.600000000000000000e+01
1.060459422619511649e+01,2.513238025324564529e+00,5.883009156188027191e+02,2.340808589122108287e+02,2.600000000000000000e+01
1.060459422619511649e+01,2.513238025324563640e+00,2.340808589122109424e+02,5.883009156188028328e+02,2.600000000000000000e+01
9.735857499927503156e+00,2.548971928125654429e+00,5.151166390348585082e+02,2.020880000093375770e+02,4.700000000000000000e+01
9.735857499927503156e+00,2.548971928125653097e+00,2.020880000093377760e+02,5.151166390348587356e+02,4.700000000000000000e+01
9.735857499927503156e+00,2.548971928125653985e+00,5.151166390348590767e+02,2.020880000093378328e+02,4.700000000000000000e+01
9.735857499927503156e+00,2.548971928125653541e+00,2.020880000093378328e+02,5.151166390348589630e+02,4.700000000000000000e+01
9.282298410561908852e+00,4.174230680727162301e+00,6.307160685048686446e+02,1.510975594657351735e+02,3.300000000000000000e+01
9.282298410561908852e+00,4.174230680727165854e+00,1.510975594657350030e+02,6.307160685048684172e+02,3.300000000000000000e+01
9.282298410561908852e+00,4.174230680727162301e+00,6.307160685048690993e+02,1.510975594657352872e+02,3.300000000000000000e+01
9.282298410561908852e+00,4.174230680727160525e+00,1.510975594657351735e+02,6.307160685048684172e+02,3.300000000000000000e+01
9.111924222818435837e+00,5.500366149344706912e+00,6.510069574882543293e+02,1.183570220258542065e+02,2.900000000000000000e+01
9.111924222818435837e+00,5.500366149344706024e+00,1.183570220258542349e+02,6.510069574882544430e+02,2.900000000000000000e+01
9.111924222818435837e+00,5.500366149344712241e+00,6.510069574882543293e+02,1.183570220258540928e+02,2.900000000000000000e+01
9.111924222818435837e+00,5.500366149344718458e+00,1.183570220258538939e+02,6.510069574882541019e+02,2.900000000000000000e+01
7.515390033354058197e+00,4.096375705409162293e+00,4.110767112808835577e+02,1.003513204948625628e+02,2.500000000000000000e+01
7.515390033354058197e+00,4.096375705409166734e+00,1.003513204948624207e+02,4.110767112808833872e+02,2.500000000000000000e+01
7.515390033354058197e+00,4.096375705409163182e+00,4.110767112808831598e+02,1.003513204948624491e+02,2.500000000000000000e+01
