fd_box, fd_min, fd_mass
-9.581843684150757046e-01,3.143554903335325501e-01,1.690005559341598795e+00
-6.234504456474269096e-01,1.102316774101492536e+00,5.504169390699008568e-01
-7.466038372397408862e-01,7.501086970862612668e-01,1.083970457284696209e+00
-8.985362623861510301e-01,4.751822171312357623e-01,1.524236701142070549e+00
-6.683873755500233660e-01,1.054688611059432235e+00,6.172521945293513168e-01
-9.118861728896693331e-01,4.471261170913242711e-01,1.559355258765190655e+00
-7.340209329410199990e-01,7.922216227794471877e-01,1.017648471077176486e+00
-9.376204289986896923e-01,3.929207878708767532e-01,1.621160310681011074e+00
-6.737734748389165862e-01,9.972502517998359517e-01,7.037056910616233951e-01
-7.513011282492915166e-01,7.806855563539935039e-01,1.035653496853869537e+00
-8.593441276871429668e-01,5.443482006210931257e-01,1.425950931861047266e+00
-8.518067019889468128e-01,5.499468529607207667e-01,1.416827774274264540e+00
-9.231689990341936936e-01,4.249422858017060656e-01,1.585711621089570977e+00
-9.152494387844257728e-01,4.523185188146157665e-01,1.552924643012617789e+00
-8.060573763594012231e-01,6.156710862676403329e-01,1.305062309644821728e+00
-7.764859348199540934e-01,7.233133402863510808e-01,1.126790461439218571e+00
-7.167169846386195475e-01,9.146334141973184728e-01,8.292253632934279972e-01
-8.673716754627801562e-01,5.303955291583757337e-01,1.447864726333865315e+00
-9.625563051671011117e-01,3.200966362625770056e-01,1.684804195618528233e+00
-8.087528698675735539e-01,6.109747051102937254e-01,1.313115117103662355e+00
-8.855507808237876866e-01,4.933745071404896376e-01,1.500412154082543248e+00
-9.559840280245190947e-01,3.402974722402928309e-01,1.667769205763178553e+00
-8.907368266359603215e-01,4.800011407446435063e-01,1.517929447359038120e+00
-2.989448513517399264e-01,1.715754463236799809e+00,5.508315039609141726e-17
-6.704486433306050541e-01,1.016157078369117839e+00,6.753136416146005017e-01
-8.526219043235128137e-01,5.407843808022165799e-01,1.431511760473061168e+00
-8.036807432489588843e-01,6.412576357531528659e-01,1.261567722661369961e+00
-9.668994670099163580e-01,3.044850183648237230e-01,1.698207576844663835e+00
-9.165685158019570844e-01,4.339610963927742482e-01,1.575169792075055586e+00
-7.749438512080308872e-01,7.067674996197282900e-01,1.153478207048725501e+00
-7.026108877626884297e-01,9.327007958062673021e-01,8.017828549818092343e-01
-7.815362718171071643e-01,7.156621299529986047e-01,1.139173391300210669e+00
-8.999952302481077915e-01,4.700766561256451426e-01,1.530862884651023048e+00
-8.666609769828622634e-01,5.204650739615122035e-01,1.463028627916951985e+00
-7.167016279531384093e-01,9.631549028601993356e-01,7.554290177835183417e-01
-9.656364410367295203e-01,3.089973893427570006e-01,1.694600119788776560e+00
-8.894433088894705408e-01,4.834387656919146847e-01,1.513612563884481066e+00
-7.459949123242985980e-01,8.595736266466960096e-01,9.133502165325541045e-01
-9.345194970326056172e-01,3.969701384861103466e-01,1.616797932864392440e+00
-8.410385622816628493e-01,5.655413078927745696e-01,1.391094946466945093e+00
-9.237158861022007894e-01,4.295132687337950284e-01,1.580244082843519804e+00
-9.167009272513029217e-01,4.375484442427681753e-01,1.570833964360233148e+00
-8.417381676207323915e-01,5.717966307384552138e-01,1.380528292005722912e+00
-8.145014738203986138e-01,6.218308894770435691e-01,1.294493358109457537e+00
-4.323769745442531121e-01,1.582328338424338954e+00,1.316322297421738605e-02
-8.166767555262824940e-01,6.042926870065241651e-01,1.324659697843914019e+00
-7.297932265575257649e-01,8.989051310763810365e-01,8.531693216911788724e-01
-9.500842497253353391e-01,3.562988404206052229e-01,1.654024439023635606e+00
-9.100194938418079138e-01,4.602571331244285080e-01,1.543309483143686656e+00
-6.811607344516021900e-01,1.035193116247327572e+00,6.462777696753390089e-01
-9.448803060696897571e-01,3.718524773137840134e-01,1.640570810062857987e+00
-7.955812845514803611e-01,6.545975702818379593e-01,1.239171963281514133e+00
-4.712237687640433159e-01,1.457619325133788113e+00,1.221618919165096406e-01
-9.486072359820542088e-01,3.512734697152286589e-01,1.658250662297784173e+00
-7.332267349896375297e-01,8.471523581120092850e-01,9.324893232252687847e-01
-5.181457511718317033e-01,1.414387633215297368e+00,1.611676316161782530e-01
-9.422708344788857104e-01,3.828018498198340058e-01,1.631038971159981088e+00
