fd_box, fd_min, fd_mass
-8.361824204413603745e-01,5.570880734892234010e-01,1.398204965907550168e+00
-7.366510469236611236e-01,8.655416245680145337e-01,9.018376696866360342e-01
-9.228709270501723738e-01,4.047459302319876273e-01,1.607158376131463173e+00
-7.833600156711452156e-01,6.453147263127801958e-01,1.247612957005611811e+00
-7.733513945971428605e-01,6.934815313421687222e-01,1.168973842574224431e+00
-7.246306600599015102e-01,8.137744374868128849e-01,9.808765558856380462e-01
-8.744860470242848960e-01,4.898853456635363646e-01,1.500582956322406458e+00
-2.989448513517399264e-01,1.720163065192247043e+00,1.013063432836724931e-17
-6.184942439792460167e-01,1.109499221952052750e+00,5.420757142095683490e-01
-9.512773099759023188e-01,3.210198665236408955e-01,1.684583909915115196e+00
-9.862084595953947153e-01,2.359660974749555884e-01,1.755438008175258080e+00
-9.317697563066974498e-01,3.890562579756240980e-01,1.624693695375329483e+00
-7.005237485631057304e-01,9.309421475560204495e-01,8.036407267832408330e-01
-7.705283595261219753e-01,6.610147082111825778e-01,1.221709170520785426e+00
-9.224216851766195990e-01,4.127294266968217218e-01,1.597666382868899060e+00
-7.597439227145350582e-01,8.351098684741253830e-01,9.478517029953267281e-01
-7.456796189749196335e-01,7.369304454992049447e-01,1.100287403614791826e+00
-9.382851211139744407e-01,3.452160435493134005e-01,1.663994006868874775e+00
-8.167038783743959529e-01,5.899041771614409457e-01,1.341173847971431465e+00
-8.946640157323740850e-01,4.602902020305262298e-01,1.539894212619175029e+00
-8.244344417804386760e-01,5.695764425489201477e-01,1.376335985987483079e+00
-9.256302245373878579e-01,4.071858192086502126e-01,1.604185399878227614e+00
-8.820807068602551926e-01,4.811362540611436867e-01,1.512414482019756479e+00
-9.364854142492036182e-01,3.682813833028313333e-01,1.644720213834742095e+00
-8.758723744215178852e-01,5.001381280727993373e-01,1.486416680395181489e+00
-6.311787626141157626e-01,1.141145811027088453e+00,5.024240261209940162e-01
-7.494120337980052504e-01,7.640582781123878009e-01,1.057431173267554758e+00
-7.413715696521531173e-01,8.511434978126762863e-01,9.236965917316940500e-01
-9.864589532308501996e-01,2.397700744379044901e-01,1.752372193355688390e+00
-5.950678711200902971e-01,1.233719225193557811e+00,3.822810855088047965e-01
-9.038461085450720800e-01,4.415747536438691112e-01,1.563412994473316386e+00
-9.635950262848221870e-01,2.944274294978770912e-01,1.707765896422557494e+00
-5.467122602313578827e-01,1.262289272849540067e+00,3.440445131254618039e-01
-6.921936707741235262e-01,9.454993653695790146e-01,7.813708428601017220e-01
-7.656099245794646402e-01,7.242106078790976342e-01,1.120075292905072573e+00
-7.754311487798838387e-01,6.539386682163511599e-01,1.233367680871918282e+00
-9.091990613116042175e-01,4.358101900819744690e-01,1.570562015617435803e+00
-9.753070488547719297e-01,2.675691616971728193e-01,1.730130608820414917e+00
-8.999185019913974459e-01,4.461449703802148337e-01,1.557905526858817113e+00
-9.763537192031482848e-01,2.615910230570848705e-01,1.734349597189763115e+00
-7.494120337980052504e-01,7.579759250867764697e-01,1.067376121122496135e+00
-9.701303222252964931e-01,2.894509192416704346e-01,1.711790385988894103e+00
-7.982155930004567468e-01,6.714385784332049800e-01,1.204975715153804305e+00
-7.312351289409745325e-01,7.771768668347525111e-01,1.037223669775535706e+00
-7.724591842983429268e-01,7.134306423264750174e-01,1.137164700782758109e+00
-8.834023932776243759e-01,4.847577015227377273e-01,1.507505211899700992e+00
-9.304897710307086234e-01,3.738219172807586421e-01,1.640065469944649745e+00
-8.401056006625567951e-01,5.481691440712167518e-01,1.413879274214526749e+00
-9.394432575714711797e-01,3.515731274759767433e-01,1.659476646381615517e+00
-6.257388145336015839e-01,1.167886065833010134e+00,4.675941032363106764e-01
-8.236507905075094449e-01,5.819672175400757430e-01,1.354801401257790250e+00
-8.029636916698081883e-01,6.001442622687781503e-01,1.323352075723121191e+00
-6.627277434499052600e-01,1.028959245791790877e+00,6.565189995237903364e-01
-4.323769745442531121e-01,1.576158588904980729e+00,1.212970825990450363e-02
-8.854492632113186712e-01,4.706556128293013508e-01,1.526267802408838081e+00
-8.220744803879386220e-01,5.748099608683624462e-01,1.367136025409218636e+00
-8.578584924374853538e-01,5.105719420033397737e-01,1.471773280490310976e+00
-9.604344945942904221e-01,3.053235815414699905e-01,1.698286851347251547e+00
-6.515133047138323974e-01,1.082640779280391152e+00,5.777335244325629837e-01
-5.193510239264312878e-01,1.383881575019795251e+00,1.913753134240632758e-01
-5.855590544511485307e-01,1.203383843261508490e+00,4.226764662736807732e-01
-9.179576925535277709e-01,4.173110581153323673e-01,1.592547071091659383e+00
-9.593792351983274624e-01,3.109936087036158092e-01,1.693045821774338711e+00
-9.557155511677231097e-01,3.150646374999754307e-01,1.690087397917375389e+00
-7.985879422062838184e-01,6.324148659588130217e-01,1.269220932604335106e+00
-8.090130463180585929e-01,6.027566221074828201e-01,1.319046213885144203e+00
-8.009482704369188522e-01,6.176875693487101637e-01,1.293849100207318692e+00
-6.573469958590867357e-01,1.066201263328365068e+00,6.018787540960477411e-01
-5.329149215890413016e-01,1.342798944231758718e+00,2.351898188992767591e-01
-7.485281780246133554e-01,7.455318408582454204e-01,1.086651601949084833e+00
-4.530175186095097284e-01,1.448544096421894078e+00,1.345344509246871878e-01
-8.840376021526450412e-01,4.751660301932068009e-01,1.520413425775432481e+00
-9.254720202391034656e-01,3.991870939473527446e-01,1.613564593626173327e+00
-9.499765611082843231e-01,3.332828812638682359e-01,1.674668406089743211e+00
